,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th
01-Bas-Saint-Laurent,0,0,0,0,0,0,1,1,1,1,3,4,6,6
02- Saguenay-Lac-Saint-Jean,0,0,0,0,0,0,0,0,1,1,1,5,8,11
03- Capitale-Nationale,0,0,2,2,3,8,10,10,13,13,33,79,95,103
04-Mauricie,1,1,3,3,3,3,3,4,5,7,16,32,35,49
05-Estrie,2,3,4,4,9,18,26,26,27,30,48,130,169,187
06-Montreal,7,8,10,18,22,24,28,31,41,46,265,439,603,782
07-Outauais,0,0,0,0,0,1,1,1,3,5,8,12,13,16
08-Abititi-Temiscaminigue,0,0,0,0,0,0,0,0,0,0,3,5,5,11
9-Cote-Nord,0,0,0,0,0,0,0,0,0,0,0,1,2,3
10-Nord-du-Quebec,0,0,0,0,0,0,0,1,1,1,1,1,1,1
11- Gaspesie-Iles-de-la-Madelaine,0,0,0,0,0,0,0,0,0,0,3,7,7,7
12-Chaudiere-Appalaches,1,1,3,4,4,6,6,6,13,13,15,14,46,58
13- Laval,0,0,0,0,0,0,1,1,3,4,21,60,83,95
14- Lanaudiere,0,1,2,3,6,6,7,7,9,15,50,55,68,72
15- Laurentides,2,2,3,3,7,8,9,10,14,17,30,44,50,61
16- Monteregie,4,7,9,10,13,13,19,21,26,40,66,125,148,167
17- Centre du Quebec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undetermined,0,1,2,3,5,5,8,18,22,24,62,0,0,0
Hors Quebec,0,0,1,1,2,2,2,2,2,2,3,0,0,0
Total,17,24,39,51,74,94,121,139,181,219,628,1013,1339,1629
New,,7,15,12,23,20,27,18,42,38,409,385,326,290
Negative,,,2270,3079,4778,5213,6331,7700,9242,9786,11211,12202,26634,31854
New Negatives,,,0,809,1699,435,1118,1369,1542,544,1425,991,14432,5220
Under Investigation,,,1480,3073,2949,3627,3997,3400,1512,2063,1888,2548,2998,2622
Dead,0,0,0,0,0,0,1,1,4,4,4,4,6,8
Recovered,0,0,0,0,0,0,1,1,1,1,1,1,1,1
